# Program:featureCounts v1.4.4; Command:"/home/jdblischak/src/subread-1.4.4-Linux-x86_64/bin/featureCounts" "-a" "data/genome/exons_ERCC92.saf" "-F" "SAF" "-o" "data/umi/two_cell.counts.txt" "data/umi/two_cell.sorted.bam" "data/umi/two_cell.umi.bam" 	# Program:featureCounts v1.4.4; Command:"/home/jdblischak/src/subread-1.4.4-Linux-x86_64/bin/featureCounts" "-a" "data/genome/exons_ERCC92.saf" "-F" "SAF" "-o" "data/population/NA19239_yale.counts.txt" "data/population/NA19239_yale.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	data/umi/two_cell.sorted.bam	data/umi/two_cell.umi.bam	data/population/NA19239_yale.sorted.bam
ENSG00000235091	chr22	46271879	46283628	-	11750	1	1	1
ENSG00000242667	chr15	60696662	60697159	+	498	111	10	416
ENSG00000265626	chr18	74471641	74471822	-	182	7	6	235
ENSG00000265610	chr22	46372758	46372834	-	77	0	0	0
ENSG00000235166	chr20	54039549	54084752	+	45204	0	0	1
ENSG00000273145	chr22	46409486	46411378	+	1893	0	0	2
ENSG00000252097	chr18	74512620	74512730	-	111	0	0	0
ENSG00000244229	chr18	74546385	74546844	-	460	0	0	0
ENSG00000230781	chrX	84228223	84232835	+	4613	1	1	0
ENSG00000099984	chr22	24322339	24326106	+	3768	0	0	3
ENSG00000231711	chr22	46435787	46440733	-	4947	0	0	1
ENSG00000265261	chr18	74596891	74600680	-	3790	0	0	0
ENSG00000245534	chr15	60771377	60922836	+	151460	0	0	14
ENSG00000254776	chr8	7651238	7653392	-	2155	0	0	0
ENSG00000215977	chr8	7711019	7711113	-	95	0	0	0
ENSG00000222118	chr20	54780108	54780229	-	122	0	0	0
ENSG00000273289	chr22	46448973	46449440	+	468	0	0	0
ENSG00000171060	chr8	10530147	10558103	+	27957	0	0	0
ENSG00000254543	chr8	7748525	7750077	-	1553	72	4	162
ENSG00000235594	chr20	54842928	54844287	+	1360	0	0	0
ENSG00000266844	chr18	74686646	74696118	+	9473	0	0	0
ENSG00000235461	chrX	84465712	84474704	+	8993	0	0	0
ENSG00000241990	chr22	46449585	46453090	+	3506	0	0	0
ENSG00000230843	chr20	54871023	54874216	-	3194	1	1	0
ENSG00000171189	chr21	30909254	31312351	-	403098	11	8	25
ENSG00000259274	chr15	60822172	60837358	+	15187	0	0	0
ENSG00000228601	chr20	55034484	55034639	-	156	10	2	1
ENSG00000229907	chr8	7791934	7796292	-	4359	0	0	0
ENSG00000204250	chr9	105281918	105419796	+	137879	8	4	2
ENSG00000259513	chr15	60850279	60850600	+	322	0	0	0
ENSG00000212084	chr20	55035322	55035413	-	92	0	0	0
ENSG00000232242	chr9	105373444	105374437	-	994	0	0	0
ENSG00000264517	chrX	84499101	84499177	+	77	0	0	0
ENSG00000238294	chr20	55050699	55050801	+	103	0	0	0
ENSG00000259482	chr15	60973768	60979087	+	5320	0	0	0
ENSG00000231010	chr22	46451620	46454040	-	2421	0	0	0
ENSG00000179467	chr20	55097413	55097855	+	443	0	0	0
ENSG00000225725	chr8	7812536	7866277	+	53742	0	0	5
ENSG00000125877	chr20	3189514	3204516	+	15003	1	1	303
ENSG00000212625	chr15	61028968	61029085	+	118	0	0	0
ENSG00000225657	chr20	55152619	55173677	+	21059	2	2	1
ENSG00000235159	chr22	46463236	46465771	-	2536	0	0	0
ENSG00000259591	chr15	61056105	61057824	+	1720	0	0	0
ENSG00000266533	chr22	46486924	46487006	+	83	0	0	0
ENSG00000223707	chrX	85104415	85105144	-	730	0	0	1
ENSG00000198986	chr22	46508629	46508702	+	74	0	0	0
ENSG00000214541	chr20	55176757	55177169	+	413	65	14	311
ENSG00000259481	chr15	61473448	61488137	+	14690	0	0	0
ENSG00000199051	chrX	85158641	85158712	-	72	0	0	0
ENSG00000264147	chr22	46509446	46509537	+	92	0	0	0
ENSG00000252536	chr20	55182733	55182849	+	117	0	0	0
ENSG00000165219	chr9	128024073	128129486	+	105414	49475	264	3229
ENSG00000199567	chrX	85274612	85274719	+	108	0	0	0
ENSG00000259575	chr15	61504112	61506430	+	2319	0	0	0
ENSG00000252091	chr20	55242486	55242587	+	102	0	0	0
ENSG00000101670	chr18	47087069	47119272	+	32204	1	1	31
ENSG00000207875	chr22	46509566	46509648	+	83	0	0	0
ENSG00000241821	chr20	55263457	55263749	+	293	0	0	1
ENSG00000234039	chrX	85321231	85321472	-	242	0	0	0
ENSG00000259616	chr15	61592525	61927648	-	335124	895	9	7
ENSG00000230634	chr22	46877226	46877657	-	432	0	0	0
ENSG00000237000	chr20	55275893	55276570	-	678	30	9	1
ENSG00000165480	chr13	21727734	21750741	-	23008	28	5	282
ENSG00000259530	chr15	61890713	61897440	+	6728	0	0	0
ENSG00000171056	chr8	10581278	10697357	-	116080	0	0	3
ENSG00000255211	chr8	7824866	7826066	-	1201	0	0	0
ENSG00000221416	chr20	55293942	55294025	+	84	0	0	0
ENSG00000234269	chr9	105684856	105685526	+	671	0	0	0
ENSG00000234869	chr22	46937392	46944093	+	6702	0	0	1
ENSG00000259675	chr15	61931548	62007370	-	75823	0	0	3
ENSG00000252931	chr15	86365086	86365188	+	103	0	0	0
ENSG00000231604	chr20	55305453	55306516	+	1064	0	0	0
ENSG00000106688	chr9	4490444	4587469	+	97026	1027	10	107
ENSG00000264406	chr15	86368866	86368961	+	96	0	0	0
ENSG00000225536	chrX	85339720	85341343	-	1624	0	0	333
ENSG00000260708	chr22	47157791	47158460	-	670	0	0	19
ENSG00000207158	chr20	55361037	55361143	-	107	1	1	0
ENSG00000271195	chr15	61966966	61967411	+	446	0	0	0
ENSG00000259608	chr15	86501948	86502202	-	255	0	0	0
ENSG00000251772	chr20	55575143	55575213	+	71	0	0	0
ENSG00000221672	chr22	47243803	47243875	+	73	0	0	0
ENSG00000259284	chr15	62022049	62023588	+	1540	0	0	0
ENSG00000238644	chr20	55629846	55629897	+	52	0	0	0
ENSG00000224715	chr22	47741319	47769291	+	27973	0	0	1
ENSG00000266349	chr15	62036140	62036218	+	79	0	0	0
ENSG00000260758	chr15	86621974	86623023	-	1050	0	0	0
ENSG00000231078	chr20	55680797	55682184	+	1388	0	0	0
ENSG00000259564	chr15	62126951	62144351	+	17401	1	1	1
ENSG00000203266	chr20	55689971	55697148	+	7178	0	0	0
ENSG00000264376	chr15	62206624	62206875	+	252	0	0	0
ENSG00000172007	chr4	140374386	140397763	+	23378	2	1	66
ENSG00000235032	chr20	55789928	55790922	+	995	0	0	0
ENSG00000205634	chr22	48016792	48027318	-	10527	0	0	0
ENSG00000260477	chr15	86626576	86659948	-	33373	2	1	0
ENSG00000184674	chr22	24376133	24384680	-	8548	0	0	0
ENSG00000259251	chr15	62352702	62354633	+	1932	0	0	0
ENSG00000229830	chr9	105827698	105827880	+	183	0	0	0
ENSG00000226308	chr20	55841853	55858054	+	16202	0	0	0
ENSG00000238729	chrX	47138526	47138629	+	104	0	0	1
ENSG00000252064	chr20	55886910	55887014	+	105	0	0	0
ENSG00000252964	chr15	86681500	86681610	-	111	0	0	0
ENSG00000266158	chrX	47140214	47140462	-	249	0	0	0
ENSG00000266666	chr20	55896558	55896647	-	90	0	0	0
ENSG00000203402	chrX	47157251	47158120	+	870	0	0	0
ENSG00000237038	chr8	7829183	7830775	-	1593	0	0	0
ENSG00000258724	chr8	10582909	10697357	-	114449	0	0	0
ENSG00000261077	chr15	86683069	86683471	-	403	4	2	0
ENSG00000231005	chr20	55903602	55903752	+	151	20	5	1
ENSG00000201450	chrX	47211242	47211348	-	107	0	0	0
ENSG00000101773	chr18	20378224	20606451	+	228228	114	7	374
ENSG00000221459	chrX	47248048	47248176	+	129	0	0	0
ENSG00000224271	chr22	48027423	48251349	+	223927	8	6	5
ENSG00000225327	chr8	7833915	7835507	-	1593	0	0	0
ENSG00000200206	chr15	86716429	86716501	-	73	0	0	0
ENSG00000228995	chr20	55932482	55933425	-	944	0	0	0
ENSG00000232009	chrX	47249360	47251699	-	2340	0	0	0
ENSG00000218018	chr20	55959216	55968118	-	8903	0	0	6
ENSG00000223574	chrX	85383897	85384574	-	678	0	0	1
ENSG00000260125	chr15	86838880	86860404	-	21525	0	0	0
ENSG00000138600	chr15	50999506	51058005	-	58500	13366	72	113
ENSG00000184508	chr15	91474148	91475799	-	1652	0	0	0
ENSG00000124209	chr20	56884752	56942563	+	57812	2	2	268
ENSG00000124097	chr20	56063448	56064083	-	636	58	9	45
ENSG00000226556	chrX	47298135	47299173	-	1039	1	1	0
ENSG00000205989	chr8	7847937	7855043	-	7107	0	0	0
ENSG00000227297	chr20	56174751	56176256	-	1506	0	0	1
ENSG00000235636	chrX	47372001	47372882	-	882	0	0	187
ENSG00000259734	chr15	87173497	87174367	-	871	0	0	0
ENSG00000232897	chr22	48058308	48059352	-	1045	0	0	0
ENSG00000263858	chrX	47446828	47446904	+	77	0	0	0
ENSG00000259636	chr15	87476111	87489562	+	13452	0	0	0
ENSG00000263453	chr20	56470450	56470500	+	51	0	0	0
ENSG00000230345	chr22	48256420	48257811	+	1392	0	0	0
ENSG00000221007	chr20	56493940	56494091	+	152	0	0	0
ENSG00000259620	chr15	87482028	87531657	-	49630	0	0	0
ENSG00000225564	chr9	105902805	106087316	-	184512	100	14	214
ENSG00000203971	chr20	56532182	56534716	-	2535	0	0	0
ENSG00000235154	chr22	48440527	48444366	-	3840	0	0	0
ENSG00000259761	chr15	87585285	87590392	+	5108	0	0	1
ENSG00000147548	chr8	38127215	38239790	-	112576	5162	31	673
ENSG00000238192	chr22	48535278	48536818	-	1541	0	0	0
ENSG00000221451	chr20	56551074	56551149	+	76	0	0	0
ENSG00000221385	chr20	56642512	56642663	+	152	0	0	0
ENSG00000259560	chr15	87975289	88247083	-	271795	2	1	3
ENSG00000229275	chr22	48537359	48539046	+	1688	0	0	0
ENSG00000225708	chr20	56644110	56647126	-	3017	0	0	0
ENSG00000254219	chr8	92054918	92056990	-	2073	0	0	0
ENSG00000207150	chr15	88017414	88017520	-	107	0	0	0
ENSG00000266508	chr22	48670176	48670227	+	52	0	0	0
ENSG00000215093	chrX	85415268	85416363	-	1096	0	0	0
ENSG00000157734	chr15	64443914	64449680	+	5767	0	0	143
ENSG00000183653	chr21	30968360	31003067	+	34708	0	0	0
ENSG00000259527	chr15	88120160	88122917	+	2758	0	0	0
ENSG00000233179	chr22	48844702	48847029	+	2328	0	0	0
ENSG00000270411	chr20	56672323	56672647	+	325	0	0	0
ENSG00000259183	chr15	88687166	88687396	-	231	0	0	0
ENSG00000266887	chr22	49176107	49176165	+	59	0	0	0
ENSG00000233115	chr8	7869304	7874533	-	5230	0	0	0
ENSG00000253738	chr8	92072137	92082417	-	10281	10421	65	83
ENSG00000185015	chr8	86132816	86196302	+	63487	0	0	13
ENSG00000156282	chr21	31538241	31538971	-	731	0	0	0
ENSG00000173141	chr13	21750784	21753223	+	2440	13158	107	282
ENSG00000251912	chr22	49210132	49210216	-	85	0	0	0
ENSG00000260305	chr15	88795961	88814297	+	18337	1	1	2
ENSG00000205632	chr22	49288729	49294198	+	5470	0	0	0
ENSG00000223772	chrX	85559370	85560089	+	720	0	0	0
ENSG00000271958	chr4	38619886	38621058	-	1173	0	0	0
ENSG00000254093	chr8	10622473	10697394	-	74922	8	0	0
ENSG00000173867	chr15	89002948	89055760	-	52813	538	7	30
ENSG00000263888	chr8	92151489	92151751	+	263	0	0	0
ENSG00000259466	chr15	62374649	62375504	-	856	14	4	2
ENSG00000226142	chr22	49609837	49610173	-	337	555	36	2
ENSG00000222230	chr4	38760412	38760513	-	102	0	0	0
ENSG00000253525	chr8	92169513	92170976	+	1464	0	0	0
ENSG00000226566	chr9	106124234	106192174	-	67941	0	0	1
ENSG00000156284	chr21	31586324	31588391	-	2068	0	0	0
ENSG00000207944	chr4	38869653	38869748	+	96	0	0	0
ENSG00000264139	chr22	49937041	49937114	-	74	0	0	0
ENSG00000231290	chr20	57090435	57194944	+	104510	2	1	11
ENSG00000215354	chr8	7876951	7888168	-	11218	0	0	0
ENSG00000259697	chr15	62488344	62495517	-	7174	3	2	0
ENSG00000271997	chr15	89045175	89049018	-	3844	0	0	0
ENSG00000266194	chr8	92217713	92217787	+	75	0	0	0
ENSG00000249207	chr4	39114297	39128438	-	14142	0	0	0
ENSG00000212939	chr22	49942329	49950121	+	7793	0	0	0
ENSG00000239134	chr8	92476263	92476367	-	105	0	0	0
ENSG00000221391	chr15	89081810	89081913	-	104	0	0	0
ENSG00000253031	chr9	106451755	106451859	-	105	0	0	0
ENSG00000213279	chr22	49965912	49969074	-	3163	0	0	0
ENSG00000253901	chr8	92555152	92919847	-	364696	6	6	6
ENSG00000249685	chr4	39135533	39137228	+	1696	0	0	2
ENSG00000259569	chr15	89111518	89111793	+	276	0	0	0
ENSG00000188694	chr21	31653629	31655276	-	1648	0	0	0
ENSG00000206675	chr4	39299225	39299331	-	107	0	0	0
ENSG00000235111	chr22	50006305	50009364	-	3060	0	0	0
ENSG00000167702	chr8	145691426	145699585	+	8160	1	1	38
ENSG00000222592	chr4	39400769	39400868	+	100	0	0	0
ENSG00000200151	chr8	92607193	92607469	+	277	0	0	0
ENSG00000249487	chr15	89128802	89148341	-	19540	11	5	2
ENSG00000232263	chr21	31661463	31661832	-	370	0	0	0
ENSG00000264621	chr4	39413530	39413594	+	65	0	0	0
ENSG00000271202	chr8	92921966	92922395	-	430	0	0	3
ENSG00000226954	chr22	50111701	50118154	-	6454	0	0	1
ENSG00000270332	chr9	106842305	106855354	-	13050	0	0	4
ENSG00000166104	chr15	62520095	62545434	-	25340	3	2	6
ENSG00000238797	chr4	39443285	39443384	+	100	0	0	0
ENSG00000229182	chr8	92929735	92930146	+	412	0	0	5
ENSG00000223142	chr22	50132325	50132651	+	327	0	0	0
ENSG00000166965	chr15	91498100	91506349	+	8250	0	0	283
ENSG00000221630	chr15	89151338	89151428	+	91	0	0	0
ENSG00000214727	chr22	50151275	50152628	-	1354	16	8	13
ENSG00000253576	chr8	92988136	92989646	+	1511	0	0	0
ENSG00000224097	chr4	39481875	39483525	+	1651	0	0	40
ENSG00000197683	chr21	31691452	31692607	-	1156	0	0	0
ENSG00000207703	chr15	89155056	89155165	+	110	0	0	0
ENSG00000254620	chr20	57169473	57179029	+	9557	0	0	0
ENSG00000233778	chr8	93156316	93156663	-	348	450	29	3
ENSG00000236867	chr22	50210896	50211360	+	465	0	0	0
ENSG00000166794	chr15	64448011	64455404	-	7394	22282	107	927
ENSG00000221174	chr20	57180140	57180283	+	144	0	0	0
ENSG00000259676	chr15	89340644	89341965	-	1322	0	0	0
ENSG00000260613	chr22	50226264	50231434	-	5171	1	1	0
ENSG00000249348	chr4	39529639	39596327	+	66689	677	16	69
ENSG00000254419	chr20	57285851	57286689	+	839	0	0	0
ENSG00000253118	chr8	93364140	93364376	-	237	0	0	0
ENSG00000206107	chr21	31709331	31710012	-	682	0	0	0
ENSG00000259350	chr15	89495914	89496691	+	778	0	0	1
ENSG00000253140	chr8	49428412	49429649	-	1238	0	0	38
ENSG00000229409	chr22	50239577	50239738	+	162	0	0	0
ENSG00000252796	chr4	39622632	39622693	+	62	0	0	0
ENSG00000242111	chr9	107032509	107049236	+	16728	1	1	1
ENSG00000237121	chr20	57315588	57358877	-	43290	2	2	1
ENSG00000253682	chr8	93415773	93425873	-	10101	1	1	3
ENSG00000273192	chr22	50295876	50298224	+	2349	0	0	0
ENSG00000259489	chr15	89503301	89504277	+	977	0	0	1
ENSG00000253608	chr8	49464127	49611069	+	146943	1	1	6
ENSG00000186980	chr21	31720717	31720924	-	208	0	0	0
ENSG00000273188	chr22	50630153	50630831	-	679	0	0	0
ENSG00000255458	chr4	39640760	39668264	+	27505	982	20	9
ENSG00000253749	chr8	93433078	93434026	-	949	0	0	0
ENSG00000222862	chr8	27537349	27537452	+	104	1	1	0
ENSG00000270279	chr20	57329407	57331894	+	2488	0	0	0
ENSG00000265866	chr15	89515632	89515683	-	52	0	0	0
ENSG00000226388	chrX	145635246	145637283	+	2038	0	0	0
ENSG00000253560	chr8	27554734	27555043	-	310	0	0	0
ENSG00000259878	chr15	62522583	62524094	-	1512	0	0	0
ENSG00000273253	chr22	50637519	50638976	-	1458	0	0	7
ENSG00000253371	chr8	93512811	93522044	-	9234	0	0	0
ENSG00000182816	chr21	31743709	31744557	-	849	0	0	0
ENSG00000261549	chr15	89532750	89533476	-	727	0	0	48
ENSG00000253688	chr8	49464575	49469001	-	4427	0	0	0
ENSG00000268649	chr20	57392187	57392780	-	594	0	0	3
ENSG00000221463	chrX	117520357	117520434	+	78	0	0	0
ENSG00000221141	chr15	62535565	62535647	-	83	0	0	0
ENSG00000231686	chrX	145701115	145702102	-	988	0	0	11
ENSG00000265075	chr8	27559190	27559284	-	95	0	0	0
ENSG00000272836	chr22	50644014	50644491	-	478	0	0	0
ENSG00000253634	chr8	93577671	93667722	-	90052	24	7	0
ENSG00000252975	chr4	39711705	39711796	-	92	0	0	0
ENSG00000203396	chr9	107090601	107091677	-	1077	0	0	0
ENSG00000145391	chr4	140417095	140527853	-	110759	6	6	10
ENSG00000216031	chr20	57393281	57393368	-	88	0	0	0
ENSG00000249019	chr4	39715462	39716071	-	610	0	0	0
ENSG00000273137	chr22	50646890	50647971	-	1082	0	0	0
ENSG00000206862	chrX	117703368	117703478	-	111	0	0	0
ENSG00000260062	chr15	62545929	62562879	-	16951	0	0	3
ENSG00000198390	chr21	31768392	31769136	+	745	0	0	0
ENSG00000233858	chr8	49502961	49507181	+	4221	0	0	0
ENSG00000221172	chr8	93647563	93647693	+	131	0	0	0
ENSG00000243260	chr4	39762620	39762919	+	300	0	0	0
ENSG00000230399	chrX	117766338	117768181	-	1844	0	0	0
ENSG00000227484	chr22	50753060	50754437	+	1378	0	0	0
ENSG00000235590	chr20	57393974	57425958	-	31985	0	0	24
ENSG00000235699	chrX	145891302	145891927	+	626	0	0	0
ENSG00000253177	chr8	93681064	93691822	+	10759	1	1	0
ENSG00000242463	chr22	50809639	50809923	+	285	0	0	0
ENSG00000180610	chr4	39771701	39773000	-	1300	0	0	0
ENSG00000253875	chr8	27590855	27613943	+	23089	0	0	0
ENSG00000238604	chr22	50837249	50837349	+	101	0	0	0
ENSG00000240432	chr21	31797583	31798286	-	704	0	0	0
ENSG00000272821	chr22	50962355	50963209	+	855	0	0	0
ENSG00000239182	chrX	117872018	117872145	+	128	0	0	0
ENSG00000253702	chr8	49510018	49533578	-	23561	0	0	0
ENSG00000268333	chr20	57408864	57411584	-	2721	0	0	0
ENSG00000171044	chr8	10753555	11058875	-	305321	6582	50	287
ENSG00000271278	chr4	39934074	39935181	+	1108	0	0	0
ENSG00000250995	chrX	117903759	117904820	+	1062	0	0	0
ENSG00000272666	chr22	50980734	50981335	-	602	0	0	9
ENSG00000186971	chr21	31802572	31803216	+	645	0	0	0
ENSG00000263681	chr21	42539484	42539556	+	73	0	0	0
ENSG00000253455	chr8	49533025	49536455	+	3431	0	0	0
ENSG00000265844	chr18	74892062	74947386	+	55325	2	2	0
ENSG00000238624	chr8	27612549	27612639	-	91	0	0	0
ENSG00000252970	chr4	39938373	39938475	+	103	0	0	0
ENSG00000273272	chr22	50981079	50981440	+	362	0	0	3
ENSG00000237443	chr9	107352325	107353231	+	907	0	0	0
ENSG00000202242	chr8	27631162	27631265	+	104	0	0	0
ENSG00000225806	chr20	57438583	57463864	-	25282	0	0	0
ENSG00000226738	chr22	50984844	50986081	+	1238	0	0	0
ENSG00000250568	chr4	39974748	39975062	-	315	0	0	0
ENSG00000253892	chr8	49569820	49571454	-	1635	0	0	0
ENSG00000264015	chr18	75133575	75272719	+	139145	5	3	12
ENSG00000225745	chr21	42548249	42558715	-	10467	0	0	0
ENSG00000186970	chr21	31812597	31813070	+	474	0	0	0
ENSG00000170006	chr4	153539784	153601317	-	61534	17679	110	306
ENSG00000205559	chr22	51021455	51022306	+	852	0	0	0
ENSG00000203650	chrX	117973519	118015978	+	42460	1	1	2
ENSG00000199392	chr18	75143519	75143645	-	127	0	0	0
ENSG00000273423	chr9	107392035	107393298	+	1264	0	0	0
ENSG00000224440	chrX	145895624	145896244	-	621	0	0	0
ENSG00000231707	chr4	39975064	39975958	+	895	0	0	0
ENSG00000180776	chr13	21950263	22033509	-	83247	494	9	159
ENSG00000264736	chr18	75147209	75149198	-	1990	0	0	0
ENSG00000270951	chr20	57451647	57452036	-	390	0	0	0
ENSG00000272940	chr22	51035581	51036028	+	448	0	0	0
ENSG00000235248	chr9	107419035	107419997	-	963	0	0	0
ENSG00000184351	chr21	31852018	31852663	-	646	0	0	0
ENSG00000249064	chr4	40021860	40023137	+	1278	0	0	0
ENSG00000233109	chr8	49826419	49826939	+	521	0	0	1
ENSG00000224388	chr21	42552024	42552553	+	530	0	0	0
ENSG00000232925	chr20	57688279	57688686	+	408	10	1	8
ENSG00000212569	chr22	51108232	51108329	+	98	0	0	0
ENSG00000264693	chr18	75334508	75336471	+	1964	0	0	0
ENSG00000253176	chr8	27695994	27697899	+	1906	0	0	0
ENSG00000206841	chr22	51129688	51129791	-	104	0	0	0
ENSG00000228318	chr21	42813321	42814669	-	1349	0	0	0
ENSG00000225660	chrX	146036593	146036727	+	135	0	0	12
ENSG00000263903	chr20	57921434	57921535	-	102	0	0	0
ENSG00000186965	chr21	31859362	31859755	-	394	0	0	0
ENSG00000103932	chr15	41809374	41836467	-	27094	9	3	354
ENSG00000271702	chr18	75344884	75345316	-	433	0	0	0
ENSG00000225929	chr22	51174253	51176567	-	2315	0	0	2
ENSG00000205794	chr4	40044537	40058819	-	14283	0	0	28
ENSG00000267064	chrX	47518232	47519776	+	1545	0	0	3
ENSG00000225129	chr20	57927250	57932829	-	5580	2	1	1
ENSG00000252260	chr18	75575420	75575523	-	104	0	0	0
ENSG00000207503	chr21	42911133	42911253	+	121	0	0	0
ENSG00000253474	chr8	50081098	50141484	+	60387	2	2	2
ENSG00000265847	chr8	27743556	27743633	-	78	0	0	0
ENSG00000232806	chr21	42931052	42934885	-	3834	0	0	0
ENSG00000124164	chr20	56964178	57026157	+	61980	26	1	331
ENSG00000244025	chr21	31863782	31864275	-	494	0	0	0
ENSG00000254499	chr22	51179021	51181948	-	2928	0	0	0
ENSG00000230352	chr20	57935982	57939828	-	3847	0	0	0
ENSG00000231478	chrX	85736535	85736816	+	282	0	0	0
ENSG00000271660	chrX	146045694	146046003	-	310	0	0	0
ENSG00000265843	chr18	75683250	75705678	-	22429	0	0	1
ENSG00000224341	chrX	118011849	118013148	-	1300	0	0	0
ENSG00000223400	chr21	42948062	42953246	-	5185	0	0	0
ENSG00000200455	chr4	40079504	40079602	+	99	0	0	0
ENSG00000233686	chr20	58035674	58035892	-	219	0	0	0
ENSG00000216171	chrX	146271222	146271305	-	84	0	0	0
ENSG00000213683	chr22	51193096	51193862	-	767	10	5	92
ENSG00000201863	chr4	40084603	40084726	+	124	0	0	0
ENSG00000252771	chr21	43024746	43024843	-	98	0	0	0
ENSG00000271290	chrX	86053601	86054229	-	629	0	0	0
ENSG00000187893	chrX	47566590	47612855	+	46266	14	4	2
ENSG00000248858	chr8	93711970	93889865	-	177896	5	1	4
ENSG00000199640	chr8	50242769	50243106	+	338	0	0	0
ENSG00000186967	chr21	31869142	31869451	-	310	0	0	0
ENSG00000188712	chr9	107484616	107485552	+	937	0	0	0
ENSG00000248977	chr4	40143818	40143985	-	168	0	0	0
ENSG00000227282	chr20	58090246	58091094	+	849	0	0	0
ENSG00000254268	chr8	50265189	50265403	-	215	0	0	0
ENSG00000253290	chr8	27760746	27761012	-	267	0	0	0
ENSG00000227702	chr21	43099341	43117496	+	18156	1	1	1
ENSG00000264334	chr18	75694976	75698566	-	3591	0	0	0
ENSG00000101181	chr20	60758085	60778624	+	20540	0	0	203
ENSG00000260296	chr4	40168295	40169451	+	1157	0	0	3
ENSG00000236190	chrX	86143589	86143819	+	231	6	1	1
ENSG00000226334	chr9	107689834	107691173	+	1340	0	0	0
ENSG00000207871	chrX	146280562	146280645	-	84	0	0	0
ENSG00000199728	chr18	75796739	75796845	+	107	0	0	0
ENSG00000186977	chr21	31873975	31874435	-	461	0	0	0
ENSG00000238194	chr20	58201519	58203344	-	1826	0	0	0
ENSG00000254020	chr8	93735252	93737339	-	2088	0	0	0
ENSG00000253615	chr8	27761083	27761232	+	150	0	0	0
ENSG00000266213	chr18	75897223	75900887	+	3665	0	0	0
ENSG00000102057	chrX	48818639	48827976	-	9338	0	0	28
ENSG00000253380	chr8	50409322	50424739	-	15418	1	1	0
ENSG00000250338	chr4	40267092	40268077	+	986	0	0	0
ENSG00000254229	chr8	7884599	7889827	-	5229	0	0	0
ENSG00000253577	chr8	93777930	93788679	+	10750	0	0	0
ENSG00000207873	chrX	146294981	146295109	-	129	0	0	0
ENSG00000231270	chrX	118072116	118073097	+	982	0	0	0
ENSG00000265644	chr18	76240549	76244867	+	4319	0	0	1
ENSG00000186925	chr21	31913854	31914183	-	330	0	0	0
ENSG00000236384	chr21	43131680	43135935	-	4256	0	0	0
ENSG00000249241	chr4	40318502	40332436	+	13935	1	1	1
ENSG00000253810	chr8	50652776	50653881	-	1106	0	0	3
ENSG00000227864	chrX	118320405	118320792	-	388	0	0	0
ENSG00000238777	chr20	58427722	58427783	-	62	0	0	0
ENSG00000184319	chr22	51195376	51239737	+	44362	4434	26	47
ENSG00000253197	chr8	93895212	93977873	+	82662	0	0	0
ENSG00000265378	chr18	76265165	76266410	+	1246	0	0	0
ENSG00000271457	chrX	86398857	86399751	-	895	0	0	0
ENSG00000207984	chrX	146307344	146307470	-	127	0	0	0
ENSG00000253397	chr8	27761998	27767827	+	5830	0	0	0
ENSG00000244362	chr21	31933194	31933633	-	440	0	0	0
ENSG00000239010	chr4	40379469	40379530	-	62	0	0	0
ENSG00000201723	chr18	76304096	76304188	-	93	0	0	0
ENSG00000196922	chr8	146198975	146228281	-	29307	1	1	85
ENSG00000227013	chr8	7897500	7898475	+	976	0	0	0
ENSG00000253484	chr8	50730146	50733504	-	3359	0	0	0
ENSG00000266273	chr18	76555612	76556672	-	1061	0	0	0
ENSG00000250893	chr4	40428136	40429602	+	1467	0	0	0
ENSG00000250516	chr8	28083446	28085079	+	1634	0	0	2
ENSG00000230013	chr9	107753077	107754062	-	986	0	0	0
ENSG00000200422	chrX	86401736	86401807	+	72	0	0	0
ENSG00000207731	chrX	146312238	146312361	-	124	0	0	0
ENSG00000221122	chr4	40465733	40465820	+	88	0	0	0
ENSG00000266586	chr18	76668629	76678993	-	10365	0	0	0
ENSG00000206106	chr21	31962424	31962716	-	293	0	0	0
ENSG00000230478	chrX	86680586	86680693	-	108	14	6	9
ENSG00000271148	chr8	50819423	50820006	-	584	0	0	0
ENSG00000230170	chrX	118354745	118355705	+	961	146	3	10
ENSG00000242197	chr4	40493750	40494041	+	292	0	0	0
ENSG00000265101	chr18	76685064	76687441	-	2378	0	0	0
ENSG00000253881	chr8	7906441	7906789	+	349	0	0	0
ENSG00000207969	chrX	146312502	146312595	-	94	0	0	0
ENSG00000169989	chr4	153690506	153700916	-	10411	0	0	10
ENSG00000212938	chr21	31964759	31965394	+	636	0	0	0
ENSG00000201583	chr9	107859037	107859342	+	306	0	0	0
ENSG00000263642	chr4	40504057	40504136	-	80	0	0	0
ENSG00000253849	chr8	51293575	51294835	+	1261	0	0	0
ENSG00000238208	chr9	107944761	107949038	-	4278	0	0	0
ENSG00000255459	chr8	7943544	7944287	-	744	0	0	0
ENSG00000253907	chr8	28095947	28096422	+	476	0	0	2
ENSG00000106686	chr9	4553386	4666674	-	113289	55	5	43
ENSG00000215346	chr8	10983980	10987745	-	3766	0	0	0
ENSG00000207589	chrX	146318431	146318545	-	115	0	0	0
ENSG00000248780	chr4	40788127	40788727	+	601	0	0	0
